이코복스커피스튜디오 서여의도점, 서울 영등포구 여의도동 13-25
노틀던, 서울 성동구 성수동1가 685-501
연꽃다방, 서울 강북구 수유동 45-77
두더지짜이집, 서울 마포구 망원동 432-4
씨크스페셜티커피, 서울 관악구 봉천동 1610-31
버드커피랩, 서울 마포구 성산동 631-2
컴포즈커피 시흥은행나무점, 서울 금천구 시흥동 911-3
카페온더플랜 건대점, 서울 광진구 화양동 90-4
실버레인 로스터리카페&라운지, 서울 종로구 인사동 34-2
설빙 서울도봉방학점, 서울 도봉구 방학동 670-10
옐롱오렌지, 서울 종로구 종로1가 24
스테츄, 서울 중구 충무로3가 56-3
회화나무, 서울 종로구 원서동 152
컴포즈커피 신림1호점, 서울 관악구 신림동 1639-2
애드리비툼, 서울 서대문구 연희동 133-30
카페위한, 서울 양천구 목동 535-24
카페오가닉 문래로데오점, 서울 영등포구 문래동3가 55-5
커피베이 보라매점, 서울 관악구 봉천동 970-18
로스디아스, 서울 성북구 동선동2가 82
탕후르츠, 서울 마포구 서교동 399-9
해피앤조이, 서울 종로구 안국동 175-112
매머드익스프레스 동대문역점, 서울 종로구 종로6가 244-15
플라이팬커피 뚝섬점, 서울 성동구 성수동1가 13-104
치타커피 선정릉점, 서울 강남구 삼성동 38-30
파도의숲, 서울 성북구 삼선동5가 218
매머드익스프레스 광운대후문점, 서울 노원구 월계동 429-6
YMCA BAR, 서울 성동구 성수동2가 336-2
로커피, 서울 양천구 신월동 133-5
셀렉토커피 개포동점, 서울 강남구 개포동 1192
존주스, 서울 영등포구 여의도동 45-3
쉘위커피, 서울 강북구 수유동 183-1
할루카연구소, 서울 서초구 양재동 120-10
골드플레이스, 서울 강남구 역삼동 603-5
다산몰카페, 서울 중구 방산동 4-32
히코코 롯데백화점 본점, 서울 중구 소공동 1
에르모소뷰티카페, 서울 송파구 신천동 29
24시 무인카페 카페& 아이스크림할인점 군자동점, 서울 광진구 군자동 470-9
이디야커피 건설회관점, 서울 강남구 논현동 71-2
유경이디저트, 서울 강남구 일원동 677-11
120겹파이 DESSERT, 서울 성북구 석관동 287-23
브릭스, 서울 마포구 대흥동 328-23
카페우디, 서울 서대문구 미근동 215
호텔엔트라 드코스모, 서울 강남구 청담동 48-3
브로, 서울 관악구 봉천동 1612-10
오주스펍, 서울 마포구 용강동 502
C1987, 서울 동작구 노량진동 44-11
리드아트, 서울 종로구 원남동 52-2
로봇카페 비트 성신여대점, 서울 성북구 동선동1가 120-1
카페 그린스, 서울 송파구 마천동 198-1
아티스트웨이, 서울 노원구 공릉동 366-27
쌤카페, 서울 강서구 내발산동 706-13
메가MGC커피 녹번점, 서울 은평구 녹번동 225
카페헤븐, 서울 송파구 마천동 135
라라스 커피, 서울 서대문구 대현동 67-15
제스티크랭크, 서울 강남구 신사동 567-35
설빙 서울망우점, 서울 중랑구 망우동 358-5
승리휴게실, 서울 종로구 장사동 31
MEDITCAFE, 서울 성북구 안암동5가 102-95
이디야커피 공릉역점, 서울 노원구 공릉동 386-6
커피소리, 서울 노원구 상계동 177-99
메가MGC커피 잠실본점, 서울 송파구 잠실동 294-25
Cafein, 서울 영등포구 당산동4가 74-2
제이빈스, 서울 강남구 신사동 665-5
중앙상회, 서울 관악구 봉천동 58-1
카페 델 꼬또네 강남구청역점, 서울 강남구 논현동 111-26
서교동398, 서울 마포구 서교동 398-8
매머드익스프레스 세종대로점, 서울 중구 남대문로5가 1-1
왕큰커피, 서울 송파구 문정동 651-6
할리스 독립문역점, 서울 종로구 무악동 89
숨다, 서울 용산구 한강로2가 107-2
KOG, 서울 마포구 연남동 239-45
스무디킹, 서울 광진구 자양동 666-28
슈가플라이, 서울 중구 서소문동 54-2
르베르디마카롱, 서울 종로구 청진동 146
메가MGC커피 불광연신점, 서울 은평구 불광동 316-1
쉼터올래, 서울 중구 만리동2가 273
토노커피, 서울 영등포구 여의도동 61-3
옵션스페셜티커피 역삼본점, 서울 강남구 역삼동 637-20
그린블루, 서울 노원구 중계동 584-1
카페마음, 서울 종로구 관철동 10-2
커피데스크 영동대교북단점, 서울 광진구 자양동 236
커피볶는집탄자니아, 서울 강남구 도곡동 963
카페메종, 서울 광진구 능동 18
이디야커피 충무아트홀점, 서울 중구 신당동 249-69
라이브바 밴드, 서울 은평구 응암동 595-59
엔티커피, 서울 종로구 종로6가 195-2
벨, 서울 성북구 하월곡동 27-67
카페제이, 서울 송파구 잠실동 40
움라우트카페, 서울 강서구 화곡동 1032-4
투썸플레이스 국립중앙박물관1점, 서울 용산구 용산동6가 168-6
시즈, 서울 관악구 봉천동 969-34
커피빈 서초부띠크모나코점, 서울 서초구 서초동 1316-5
킨크커피 청량리동부점, 서울 동대문구 청량리동 212
색조화, 서울 강서구 마곡동 773-1
커피무카24 화곡1동점, 서울 강서구 화곡동 935-19
카페서재, 서울 마포구 서교동 464-17
컴포즈커피 천호역힐스테이트점, 서울 강동구 성내동 610
2막, 서울 종로구 창성동 160
더텐, 서울 성북구 삼선동1가 11-1
명조커피&베이커리, 서울 송파구 방이동 110-14
고망고 DDP점, 서울 중구 을지로7가 143
요거트아이스크림의정석 강남구청점, 서울 강남구 삼성동 26-31
주기율, 서울 강남구 논현동 278-5
다문화카페이음터, 서울 성동구 도선동 105
카페길, 서울 중구 서소문동 120-35
볼드핸즈, 서울 용산구 한강로3가 40-132
아이스프링카페, 서울 서대문구 연희동 149-1
플러스82 마포점, 서울 마포구 도화동 288-1
컴포즈커피 관악신사교차로점, 서울 관악구 신림동 519-8
193 커피가게, 서울 도봉구 창동 539-4
컴포즈커피 군자점, 서울 광진구 군자동 478-3
커피이즈, 서울 금천구 시흥동 910-6
로플라커피 서울역본점, 서울 중구 남대문로5가 73-6
빌리브, 서울 송파구 문정동 150
소나기, 서울 중구 회현동1가 94-4
위타운, 서울 서초구 양재동 243-6
쿠즈코커피 미아점, 서울 강북구 미아동 189-17
수카페, 서울 강남구 논현동 108-3
메이베이크, 서울 성동구 하왕십리동 891-45
베르데커피, 서울 영등포구 문래동2가 14-16
데이커피, 서울 은평구 신사동 1
아르고보니, 서울 서초구 잠원동 26-2
엔제리너스 롯데시네건대점, 서울 광진구 자양동 227-7
컴포즈커피 홍대동교점, 서울 마포구 동교동 206-14
크림토끼 방화역점, 서울 강서구 방화동 830
와드커피 이대점, 서울 서대문구 대현동 136-10
헬무트, 서울 종로구 창신동 328-18
스푼, 서울 종로구 도렴동 60
신촌나누미, 서울 마포구 동교동 186-43
지니크, 서울 동대문구 용두동 233-22
카페스토리웨이 영등포역점, 서울 영등포구 영등포동 618-496
바이어셀러, 서울 중구 만리동1가 62-32
워니델리(WonyDeli), 서울 양천구 신월동 237-13
심플커피, 서울 성북구 장위동 233-438
쥬와, 서울 강남구 일원동 663-10
타로카페디바, 서울 종로구 관철동 45-8
커피빈 서초중앙로점, 서울 서초구 반포동 51-7
컴포즈커피 송파방이점, 서울 송파구 오금동 23-3
봉희, 서울 영등포구 문래동3가 58-94
요거트아이스크림의정석 이대점, 서울 서대문구 대현동 27-27
니벨크랙, 서울 마포구 서교동 375-23
카페붐 종로인의점, 서울 종로구 인의동 28-25
에그마카슈 중계은행사거리점, 서울 노원구 중계동 364
매머드익스프레스 서대문역점, 서울 서대문구 미근동 215
드립하우스, 서울 구로구 개봉동 403-107
카페드루앙, 서울 마포구 신수동 91-15
키체 홍대점, 서울 마포구 서교동 365-12
우지커피 상암KGIT점, 서울 마포구 상암동 1601
가을 2호점, 서울 서초구 방배동 450-23
버터그라인드, 서울 양천구 목동 743-27
스퀘어가든, 서울 서초구 반포동 107-30
달리는커피 서울남가좌가재울점, 서울 서대문구 남가좌동 389
마주보고까페, 서울 성동구 마장동 780-2
백억커피 왕십리점, 서울 성동구 도선동 253-12
레이지눅, 서울 광진구 중곡동 30-80
셀프커피 고척점, 서울 구로구 고척동 57-34
공차 서울과기대점, 서울 노원구 공릉동 438-2
슬로핸드, 서울 강북구 우이동 73-77
이디야커피 강남도산점, 서울 강남구 신사동 628
스티키 커피, 서울 마포구 합정동 472
카페Am730, 서울 금천구 독산동 991-18
카페만월경 영등포로터리점, 서울 영등포구 영등포동1가 92-3
팔공티 용산아이파크몰점, 서울 용산구 한강로3가 40-999
큐비스토리, 서울 성동구 성수동2가 300-11
아메리칸트레일러 NC강서점, 서울 강서구 등촌동 689
메가MGC커피 삼양점, 서울 강북구 미아동 838-62
소일, 서울 성북구 종암동 23-1
쥬스스타 고덕역점, 서울 강동구 명일동 46-1
스타벅스 마포이마트점, 서울 마포구 신공덕동 173
커피에반하다 불광대호점 스마트 무인카페, 서울 은평구 불광동 631-1
카스타니아, 서울 성동구 성수동2가 835-1
마놀린, 서울 성북구 하월곡동 21-61
백억커피 시흥사거리점, 서울 금천구 시흥동 884-4
고망고 공릉점, 서울 노원구 공릉동 596-3
코너스톤38, 서울 동대문구 청량리동 40-20
메가MGC커피 건대스타점, 서울 광진구 화양동 5-6
오늘도반가워요, 서울 마포구 서교동 369-24
한신다방, 서울 중랑구 중화동 450
엔트런스, 서울 서초구 서초동 1643-32
도깨비커피집, 서울 마포구 성산동 606-3
더라운지플라워카페, 서울 서초구 방배동 825-1
해든카페, 서울 송파구 문정동 377-1
커먼베베, 서울 관악구 신림동 1422-5
매드포미니어쳐, 서울 광진구 군자동 371-4
MACA MERON, 서울 용산구 이태원동 225-143
연인테리어카페, 서울 금천구 시흥동 1013
하이멍그라미, 서울 강남구 논현동 170
동그라미놀이터, 서울 동작구 대방동 344-27
까페여름, 서울 서대문구 남가좌동 337-21
밀스톤, 서울 용산구 한강로2가 143-1
연희도그, 서울 서대문구 연희동 81-19
릴리마를렌, 서울 종로구 명륜4가 120
펀까페, 서울 서대문구 창천동 18-1
써니싸이드, 서울 동대문구 제기동 137-130
캔디와앨리스, 서울 종로구 명륜3가 1-837
열두달, 서울 동대문구 답십리동 1012
퍼블릭가든, 서울 종로구 예지동 269-25
행복과일상, 서울 중구 순화동 217
라스트로스터, 서울 서대문구 홍은동 8-41
더카페 중계2001아울렛점, 서울 노원구 중계동 509
삼성화랑갤러리카페, 서울 강남구 신사동 549
매머드익스프레스 잠실종합운동장점, 서울 송파구 잠실동 176
윌비스콘, 서울 강남구 신사동 517-4
스타벅스 역삼럭키점, 서울 강남구 역삼동 798-30
카페자이언 삼성중앙점, 서울 강남구 삼성동 51-3
미스터리룸이스케이프 홍대2호점, 서울 마포구 서교동 398-1
