이코복스커피스튜디오 서여의도점, 서울 영등포구 여의도동 13-25
오르다빛, 서울 동대문구 장안동 326-13
클럽제옌다이져, 서울 강서구 등촌동 507-12
마미파이 사당점, 서울 동작구 사당동 1004-45
커피룸, 서울 도봉구 쌍문동 422-112
이리카페, 서울 마포구 상수동 337-4
엔제리너스 강동경희대병원점, 서울 강동구 상일동 149
이룸카페, 서울 송파구 마천동 44-9
버디리카페, 서울 마포구 서교동 367-23
마스터키 홍대점, 서울 마포구 서교동 340-4
써니데이커피, 서울 은평구 녹번동 156-42
메가MGC커피 아현역점, 서울 서대문구 북아현동 1015
더스토리지, 서울 성동구 사근동 176-11
아도니스, 서울 서초구 양재동 272-7
카페미미미 용산아이파크몰점, 서울 용산구 한강로3가 40-999
킹콩이, 서울 서초구 잠원동 31-3
티셔츠프린트퍼베이어, 서울 강남구 삼성동 60-6
더코드 왕십리점, 서울 성동구 행당동 19-7
트리츠 서울, 서울 성동구 성수동2가 322-5
콘티뉴이티, 서울 중구 저동2가 47-15
이디야커피 강서NC점, 서울 강서구 등촌동 674-2
폴바셋 용산아이파크몰점, 서울 용산구 한강로3가 40-999
요거트아이스크림의정석 신방화점, 서울 강서구 마곡동 739-3
트래버틴, 서울 용산구 한강로3가 40-317
볼피네, 서울 광진구 중곡동 639-6
카페ING 한양대인문관점, 서울 성동구 사근동 110
공감, 서울 강서구 화곡동 903-4
휴먼 메이드 서울 카페 바이 블루보틀 커피, 서울 성동구 성수동2가 333-94
커피리브레 연남점, 서울 마포구 연남동 239-34
희희잇, 서울 강서구 마곡동 799-11
스타벅스 경희궁로점, 서울 종로구 당주동 128-27
더베이크델리 아미드호텔서울점, 서울 종로구 관훈동 198-42
카페아이린, 서울 송파구 오금동 616
알카페, 서울 광진구 중곡동 185
컴포즈커피 공릉2동점, 서울 노원구 공릉동 340-15
스타벅스 화곡역8번출구점, 서울 강서구 화곡동 1051-27
유니버스 스튜디오, 서울 성동구 성수동2가 532-38
카페모스, 서울 용산구 이촌동 300-23
카페153, 서울 중랑구 면목동 172-96
카페숨꿈, 서울 광진구 광장동 272-16
빽다방 답십리사거리점, 서울 동대문구 답십리동 243-2
플랙커피, 서울 관악구 신림동 246-49
카페헤리터, 서울 송파구 잠실동 40-1
카페비밀, 서울 강남구 도곡동 452
블루포트 금융투자협회점, 서울 영등포구 여의도동 45-2
뉴믹스커피데포르메 롯데백화점본점, 서울 중구 소공동 1
슈아브, 서울 마포구 신수동 85-30
옐로연희, 서울 서대문구 연희동 189-4
쭈베디저트카페, 서울 관악구 신림동 408-2
레스트어와일, 서울 동작구 신대방동 344-136
투썸플레이스 방이한양건설점, 서울 송파구 방이동 179-5
카페 아노츠, 서울 성북구 석관동 197-18
미식, 서울 중구 광희동1가 279
스트릿124, 서울 도봉구 방학동 690-54
과일에 반하다 프루타, 서울 광진구 화양동 45-71
카페행촌7-1, 서울 종로구 행촌동 7-1
별콩다방 마천점, 서울 송파구 마천동 126-5
체크잇아웃, 서울 영등포구 양평동3가 49-4
밀라커피 홍은점, 서울 서대문구 홍은동 454
라뽀즈, 서울 마포구 합정동 412-2
한잔카페, 서울 동대문구 회기동 76-1
캐빈커피, 서울 영등포구 문래동3가 58-33
카페소프트 연남점, 서울 마포구 연남동 570-1
설빙 홍대입구역점, 서울 마포구 동교동 162-3
플러스카페 마로니에공원점, 서울 종로구 동숭동 1-124
플란디아, 서울 강남구 논현동 193
커피빈 청담에스점, 서울 강남구 청담동 118-17
델트렌 충무로역지점, 서울 중구 충무로4가 125
카페르네, 서울 중구 남대문로4가 20-7
커피에빠진침팬지, 서울 마포구 상암동 1590
너를봄, 서울 영등포구 대림동 783
밍스5, 서울 동대문구 용두동 112-8
애프터커피 방화점, 서울 강서구 방화동 452-2
제이엠coffee 씨젠의료재단점, 서울 성동구 용답동 2-3
호풀리, 서울 서대문구 홍제동 307-12
커피마심, 서울 영등포구 신길동 246-15
로스터리락온 마곡1호점, 서울 강서구 마곡동 774-5
타이완나이차, 서울 영등포구 대림동 721-14
글라쇼 신림점, 서울 관악구 신림동 1439-15
더나더나, 서울 마포구 노고산동 33-12
요거트아이스크림의정석 길음점, 서울 성북구 길음동 1285
카페디어브라운, 서울 중랑구 묵동 157-14
코만스, 서울 마포구 동교동 163-4
고품격커피공장 서초중앙로점, 서울 서초구 서초동 1687
블루브릭, 서울 동작구 노량진동 222-5
부빙 북촌점, 서울 종로구 가회동 141
쉘부르, 서울 서초구 반포동 745-6
쌍문다방, 서울 도봉구 쌍문동 446-11
미스터힐링 숙대입구역점, 서울 용산구 남영동 25-8
노아스로스팅 헤리티지점, 서울 서대문구 연희동 80-1
단코, 서울 마포구 노고산동 54-41
엘림카페, 서울 송파구 가락동 194-16
꿈도미노, 서울 송파구 석촌동 173
황금열쇠 강남타임스퀘어점, 서울 강남구 역삼동 620-15
마음카페, 서울 중랑구 면목동 652-36
더로스터59, 서울 관악구 신림동 산 56-1
카페페라 유니크점, 서울 서대문구 대현동 33-8
포토N카페, 서울 마포구 동교동 165-8
더블톤, 서울 중구 충무로4가 37-1
오늘도빙수 신림점, 서울 관악구 신림동 1641-50
101커피컨테이너, 서울 서초구 원지동 419-22
웨스턴 챕터, 서울 송파구 송파동 8-7
설빙 서울사가정역점, 서울 중랑구 면목동 497-6
나흐바, 서울 종로구 누하동 45-2
마이쥬스 상암점, 서울 마포구 상암동 36-14
더치앤빈 가산롯데IT캐슬점, 서울 금천구 가산동 371-18
카페10th아베, 서울 송파구 삼전동 115-10
데이앤데이카페, 서울 은평구 응암동 338-78
코스믹서울, 서울 서초구 서초동 1712-2
텐퍼센트커피 신독산역점, 서울 금천구 독산동 289-11
카페로뎀, 서울 영등포구 문래동4가 16-8
디저트39 노원상계보람점, 서울 노원구 상계동 640
카페동네 화곡동점, 서울 강서구 화곡동 372
도미또미, 서울 종로구 관철동 19-1
그루비, 서울 마포구 연남동 493-12
메가MGC커피 광장시장남2문점, 서울 종로구 예지동 269-43
Sky고양이카페, 서울 중구 충무로2가 66-11
유즈리스어덜트, 서울 성북구 안암동3가 107-4
곰곰다방, 서울 서대문구 남가좌동 342-33
쁠랑커피, 서울 강남구 역삼동 823-20
문휴게실, 서울 종로구 관수동 47-1
카페드림 키스티서울분원점, 서울 동대문구 청량리동 206-9
코모이도이, 서울 마포구 성산동 245-17
더카페 천호점, 서울 강동구 천호동 452-33
122ro, 서울 송파구 문정동 29-17
카페4st, 서울 강서구 내발산동 731
또옹카페, 서울 종로구 관훈동 38
맨스필드커피, 서울 성동구 행당동 4-36
리얼이스케이프챌린지, 서울 마포구 서교동 339-5
휘드카페 수락점, 서울 노원구 상계동 1054-1
카페이립스, 서울 성북구 동선동2가 43
이디야커피 신림역점, 서울 관악구 신림동 1641-19
벌새, 서울 종로구 신문로1가 238
스탠드커피 문정, 서울 송파구 문정동 645-2
오아보, 서울 마포구 서교동 358-80
휴버트커피, 서울 서초구 양재동 271-15
윤숲 롯데백화점본점, 서울 중구 소공동 1
픽어툴, 서울 성북구 성북동1가 41
오요우유, 서울 관악구 봉천동 970-32
하우슬리, 서울 강서구 마곡동 774-5
진다방, 서울 성동구 마장동 521-14
말론하우스, 서울 영등포구 양평동5가 55-1
컴포즈커피 오류북부점, 서울 구로구 오류동 50-16
케어프리, 서울 노원구 상계동 1119-22
빽다방 수락산역점, 서울 노원구 상계동 1258
메가MGC커피 신림녹두거리점, 서울 관악구 신림동 1538-3
파리서티세븐, 서울 서초구 서초동 1362-21
아머리카노, 서울 중랑구 면목동 132-22
요거트아이스크림의정석 쌍문점, 서울 도봉구 쌍문동 81-411
준커피숍, 서울 관악구 신림동 1663
파라노이드 강남뱅뱅 카페, 서울 강남구 역삼동 837-9
라마므레, 서울 송파구 문정동 1
카페테리아스테이션, 서울 중구 봉래동2가 122-11
커피숍애츠, 서울 종로구 통인동 35
템포커피 묵동점, 서울 중랑구 묵동 170-1
인성공영, 서울 성동구 행당동 346
류블리스, 서울 강동구 천호동 307-10
카페코미, 서울 동작구 상도동 348-149
어썸데이, 서울 송파구 문정동 105-9
바이스트릿 강동점, 서울 강동구 암사동 452-15
육십삼프로방스 이호점, 서울 중구 중림동 61-4
브라운래빗 논현점, 서울 강남구 논현동 158-32
에르디 용산점, 서울 용산구 한강로3가 40-471
해누리카페, 서울 중구 정동 1-17
몹시, 서울 종로구 통의동 108
아주좋아, 서울 송파구 방이동 110-2
퐁당커피, 서울 금천구 시흥동 1010
카페드루와, 서울 구로구 구로동 182-13
세겐커피, 서울 서대문구 남가좌동 396
칸토뮤직카페 2호, 서울 관악구 신림동 1431-44
다방방, 서울 서대문구 대현동 34-38
카페써카1950, 서울 종로구 명륜2가 160-2
투투커피숍, 서울 영등포구 당산동1가 87-16
빽다방 길동역점, 서울 강동구 길동 391-5
프롬하츠커피 신설동역점, 서울 동대문구 신설동 89-79
메가MGC커피 북한산정릉점, 서울 성북구 정릉동 780
코빈즈 연구소, 서울 서초구 방배동 815-6
달러커피, 서울 성동구 성수동2가 277-20
까레블랑, 서울 서초구 방배동 985-20
에스앤에프네트웍스, 서울 송파구 오금동 23
커농커피, 서울 성동구 행당동 70-6
본솔커피 연희점, 서울 서대문구 연희동 702-12
이공커피 등촌점, 서울 강서구 염창동 273-9
엔젤, 서울 중구 을지로6가 18-185
문화 합정, 서울 마포구 서교동 402-3
콤파일, 서울 마포구 서교동 466-8
카페루에, 서울 광진구 광장동 272-16
픽처레스크, 서울 강남구 자곡동 440-19
플러스타임카페, 서울 용산구 한강로3가 65-198
문카페, 서울 동대문구 용두동 795
누크커피, 서울 노원구 상계동 599
루시카페(lucycafe), 서울 강서구 마곡동 797-9
커피스토리, 서울 동작구 노량진동 132
디저트39 잠실새내점, 서울 송파구 잠실동 187-3
페블스, 서울 마포구 연남동 566-19
퐁대42, 서울 마포구 서교동 366-2
포마이카이, 서울 종로구 명륜3가 1-27
카페테라스, 서울 서초구 양재동 340
카페트리, 서울 송파구 오금동 144
허니푸드, 서울 강동구 길동 331-6
뎁스, 서울 강남구 신사동 652-5
리어라운드, 서울 강동구 성내동 174-40
복음창고 카페다니엘, 서울 동대문구 제기동 142-8
네오그린플라워&카페 2호점, 서울 종로구 원남동 94-4
메가MGC커피 현대시장점, 서울 관악구 봉천동 464-2
이플베이커리 석촌점, 서울 송파구 삼전동 180-2
15미뉴엣, 서울 중구 저동2가 73-4
목포항뱃머리, 서울 강남구 논현동 184-21
오늘의커피, 서울 마포구 합정동 433-1
메가MGC커피 신림신원점, 서울 관악구 신림동 1604-41
카페인중독 대방점, 서울 동작구 대방동 380-111
노슈가존 강남본점, 서울 강남구 신사동 583-3
블루포트 성신여자대학교 수정캠퍼스점, 서울 성북구 돈암동 173-1
한입베이글 청담점, 서울 강남구 청담동 62-9
토프레소 성수우림점, 서울 성동구 성수동2가 280-21
메가MGC커피 강동구청점, 서울 강동구 성내동 539
카페 무(MOO), 서울 강동구 천호동 291-20
그린브릭, 서울 송파구 송파동 164-9
엘엘디이, 서울 광진구 중곡동 254-23
여우별카페, 서울 중랑구 묵동 122-188
뜨리먼뜨, 서울 강서구 화곡동 812-8
커피스퀘어 선릉점, 서울 강남구 역삼동 702-13
엘리케이커, 서울 강서구 마곡동 760
카페만월경 강남힐즈점, 서울 강남구 자곡동 611
더카페 송파NC백화점(4층영관), 서울 송파구 문정동 634
두카페, 서울 동대문구 전농동 124-12
에스프레소웍스, 서울 강남구 논현동 192-1
커피빈 테헤란로비젼타워점, 서울 강남구 역삼동 707-2
요거트아이스크림의정석 신길점, 서울 영등포구 신길동 4969
소일, 서울 동작구 대방동 407-24
소롯다담, 서울 마포구 망원동 385-44
씨스루 롯데월드몰점, 서울 송파구 신천동 29
중간지점, 서울 동작구 흑석동 339
브라이틀링카페, 서울 용산구 이태원동 34-150
베어글 공덕점, 서울 마포구 신공덕동 171
다정다감, 서울 강서구 마곡동 772-5
공차 롯데시네마노원점, 서울 노원구 상계동 713
크로크로x슬코 서래마을점, 서울 서초구 방배동 6-9
컴포즈커피 마곡파인스퀘어점, 서울 강서구 마곡동 791-5
스타라이트SFC, 서울 중구 무교동 63-1
스타벅스 송파위례점, 서울 송파구 장지동 884
카페이스턴, 서울 서대문구 남가좌동 139-4
HJC라운지 서울, 서울 강동구 천호동 332-1
ME3 서대문점, 서울 서대문구 미근동 196
커피씨 COFFEE C, 서울 강남구 논현동 212-2
오스카스페이스 커피하우스, 서울 종로구 혜화동 26-31
스위스워터커피, 서울 성북구 성북동 122-7
커피더캠프 청파점, 서울 용산구 청파동2가 104-5
써니테라스, 서울 영등포구 문래동6가 57
카페이니지오, 서울 종로구 무악동 82
카페몽글, 서울 구로구 구로동 30-23
닷아웃카페, 서울 강동구 천호동 331-24
다나제과, 서울 서대문구 대현동 34-22
커피블러썸, 서울 노원구 상계동 430-4
카페 프리즘, 서울 서초구 양재동 88-11
여배우 카페, 서울 강남구 논현동 166-6
임태희커피랩, 서울 영등포구 영등포동7가 203
리버풀, 서울 강서구 등촌동 10-13
노티드 가산퍼블릭점, 서울 금천구 가산동 60-26
오후의과일, 서울 관악구 봉천동 1626-12
코지덤즈, 서울 용산구 이태원동 557
빌라드샬롯 김포공항국내선청사3층점, 서울 강서구 공항동 1373
정이네커피상점, 서울 중랑구 면목동 151-22
어니언 안국, 서울 종로구 계동 146-1
폴바셋 종각역점, 서울 종로구 공평동 100
브런치빈 서울대입구역점, 서울 관악구 봉천동 1601-1
곳온니플레이스 웨스트웰리, 서울 영등포구 여의도동 14-27
이앤지커피, 서울 강남구 삼성동 159
인덱스숍, 서울 광진구 자양동 17-3
순수커피 마곡본점, 서울 강서구 마곡동 730-679
에이스커피, 서울 구로구 고척동 226
세븐드래곤, 서울 강서구 마곡동 799-2
빽다방 수유역점, 서울 강북구 번동 418-3
TSOP홀덤 마곡점, 서울 강서구 마곡동 727-593
750엠쥬스, 서울 동작구 상도동 488
페이퍼커피, 서울 마포구 상암동 1605
키미커피, 서울 송파구 문정동 652-4
아리스타커피 삼성본점, 서울 강남구 대치동 1000-2
카페더육삼공, 서울 강남구 일원동 676
아마스빈 개포동역점, 서울 강남구 개포동 186-15
카페플랫, 서울 강동구 길동 91-9
메가MGC커피 은평신사점, 서울 은평구 신사동 7-4
필아웃 상암, 서울 마포구 상암동 1605
풍류, 서울 종로구 누하동 90-1
아인플라츠, 서울 중랑구 면목동 161-28
꽃다방, 서울 종로구 관수동 52
스틸커피, 서울 강서구 등촌동 477-1
하우스오브지알, 서울 성동구 성수동1가 685-329
스타스트럭, 서울 은평구 역촌동 16-19
THE더맛있는과일&1L커피 독산점, 서울 금천구 독산동 151-11
손탁커피 리필스테이션, 서울 마포구 합정동 432-6
성북동테이블, 서울 성북구 동선동5가 70-3
브루라운지, 서울 강남구 역삼동 703-7
호박이넝쿨책, 서울 성북구 정릉동 110-43
카페드룸톤, 서울 송파구 석촌동 173
하늘여행자, 서울 서초구 서초동 1309-1
아이홀릭커피, 서울 강남구 대치동 943-16
24시무인셀프카페 목동점, 서울 양천구 목동 796-4
카페로세토, 서울 마포구 서교동 378-7
지오바네커피, 서울 강남구 역삼동 667-17
엔제리너스 선유도역점, 서울 영등포구 양평동5가 21
동반카페, 서울 동작구 대방동 5-1
청혜윰 방배사당역점, 서울 서초구 방배동 475-17
달콤한카페, 서울 성동구 마장동 478-35
아지트로스터스, 서울 마포구 서교동 468-31
올모스트프라이데이, 서울 강동구 고덕동 343-2
카페팰리스, 서울 강남구 도곡동 467-24
백야, 서울 영등포구 문래동2가 13-2
카페노드, 서울 동대문구 청량리동 42
그라운드커피, 서울 종로구 신문로1가 163
유남생, 서울 서초구 양재동 333-15
커피무카24 목3동점, 서울 양천구 목동 619-15
곡식방울, 서울 마포구 연남동 390-44
게헨, 서울 마포구 노고산동 56-41
점핑업, 서울 양천구 목동 609-22
하이빙수 건대점, 서울 광진구 화양동 10-1
웅천마음선원, 서울 도봉구 도봉동 599-1
투디카페, 서울 동작구 상도1동 771-1
노티드 강남신세계백화점, 서울 서초구 반포동 19-3
노르웨이의숲, 서울 성북구 안암동1가 195
카페 달마이어, 서울 송파구 풍납동 388-1
카페301, 서울 서초구 서초동 1712-8
카페볼룸, 서울 동작구 상도동 353-2
플러스82 강서점, 서울 강서구 화곡동 979-13
베르사체카페커피숍, 서울 노원구 상계동 389-488
톰토, 서울 양천구 신정동 1325
스타벅스 압구정역점, 서울 강남구 신사동 580-2
카페153, 서울 강남구 일원동 677-2
공집합 에스프레소바, 서울 동작구 상도동 246-2
프렌즈, 서울 광진구 자양동 608-19
마룬, 서울 서대문구 연희동 75-3
아날로그네버다이스, 서울 서대문구 창천동 72-36
일상적, 서울 중랑구 면목동 595-45
무겐, 서울 마포구 도화동 538
언더바커피, 서울 강남구 논현동 242-1
비트커피알커피점, 서울 성북구 상월곡동 24-9
할리스 고덕리앤파크점, 서울 강동구 고덕동 182
카페389, 서울 동작구 노량진동 215-143
스타벅스 시청점, 서울 중구 을지로1가 50
홍당무, 서울 동대문구 신설동 97-8
Fran, 서울 노원구 공릉동 517-47
더마실카페 강서점, 서울 강서구 화곡동 874-9
커피하우스C, 서울 성동구 마장동 775-1
지민스통, 서울 관악구 봉천동 1621-9
놀숲 중계은행사거리점, 서울 노원구 중계동 360-13
카페 다우드, 서울 광진구 광장동 322-4
멜로우문, 서울 서대문구 남가좌동 3-6
카페 포레누아, 서울 도봉구 방학동 666-12
뚜또카페, 서울 강남구 논현동 176-23
디저트39 신용산점, 서울 용산구 한강로2가 422
소적두 성수점, 서울 성동구 성수동1가 13-316
에픽카페&에픽모빌리티, 서울 강남구 논현동 27
공차 구로디지털2호점, 서울 구로구 구로동 212-8
메가MGC커피 개롱역점, 서울 송파구 오금동 165
지호커피숍, 서울 광진구 자양동 845-11
더착한커피플러스, 서울 영등포구 여의도동 23-6
살롱드상수, 서울 마포구 상수동 317-4
더카페, 서울 관악구 신림동 1417-43
무트, 서울 광진구 자양동 684-29
탭플레이커피 롯데팩토리아울렛가산점, 서울 금천구 가산동 60-19
Cafe45번가, 서울 동작구 사당동 1019-55
공감, 서울 용산구 용문동 54-6
아일랜드비, 서울 동대문구 이문동 288-56
달수족관카페, 서울 금천구 시흥동 1026
테르테르, 서울 강동구 고덕동 635-1
카페유목민, 서울 성북구 동소문동6가 26
카페빈둥, 서울 노원구 월계동 411-32
카페홈즈 문정역점, 서울 송파구 문정동 645-2
메종드아트, 서울 마포구 대흥동 576
메가MGC커피 독바위역점, 서울 은평구 불광동 13-18
한국대중음악박물관 서울점, 서울 송파구 신천동 29
포슬빙수, 서울 강서구 화곡동 814-3
커피홀, 서울 종로구 종로6가 289-57
더숲, 서울 노원구 상계동 727-1
쏘나이스커피, 서울 강서구 마곡동 728-177
해방촌아름이, 서울 용산구 후암동 406-114
하리니스콘, 서울 강남구 논현동 225-6
아메리칸트레일러 롯데백화점잠실점, 서울 송파구 잠실동 40-1
카페사계, 서울 관악구 신림동 517-52
벌툰 파리지앵 수유역점, 서울 강북구 수유동 192-61
29금, 서울 용산구 용산동2가 1-59
카페 보보, 서울 강남구 도곡동 527-3
아스트라루미나, 서울 동대문구 휘경동 34-45
나티, 서울 관악구 신림동 1443-33
컴포즈커피 용산원효로점, 서울 용산구 원효로3가 31-2
굳디, 서울 용산구 한강로3가 65-192
99밀크티앤커피, 서울 동작구 상도1동 547
매머드익스프레스 구로구청점, 서울 구로구 구로동 103-6
프린프린, 서울 동작구 사당동 588-44
토리만화카페, 서울 도봉구 방학동 273
아지트901, 서울 강남구 일원동 645-5
투썸플레이스 강동성심병원점, 서울 강동구 길동 445
시츠프로브, 서울 마포구 성산동 114-15
어레미, 서울 마포구 망원동 399-42
카페주황, 서울 영등포구 문래동3가 54-5
스타벅스 타임스퀘어B2점, 서울 영등포구 영등포동4가 442
스타벅스 하이테크시티점, 서울 영등포구 문래동3가 55-20
카페이공일, 서울 노원구 월계동 473-19
페그로스터스, 서울 마포구 서교동 461-11
투썸플레이스 강남IBC점, 서울 강남구 역삼동 648-1
메가MGC커피 서서울호수공원점, 서울 양천구 신월동 205-46
드림라이크 커피, 서울 종로구 서린동 145-1
쿠랑관, 서울 동대문구 회기동 1-5
카페쏘로, 서울 송파구 문정동 645-2
이디야커피 옥수동점, 서울 성동구 옥수동 517-12
휘카페 목동점, 서울 양천구 목동 405-71
메가MGC커피 마곡나루역점, 서울 강서구 마곡동 290-5
라운, 서울 강서구 마곡동 776-2
카우치소셜, 서울 중구 충무로3가 56-19
피치룸카페, 서울 노원구 상계동 616-6
에비뉴엘바 롯데백화점잠실점, 서울 송파구 잠실동 40-1
파르코지오키, 서울 용산구 이태원동 102-2
정다방, 서울 도봉구 방학동 685-3
만족커피 영등포 신세계점, 서울 영등포구 영등포동4가 433-24
하이엔드AI로봇카페 엠브이랩, 서울 광진구 중곡동 169-41
나따오비까 펭귄드링스커피점, 서울 노원구 상계동 717
우승클럽, 서울 마포구 서교동 334-20
카페리차지, 서울 도봉구 도봉동 636-6
나무, 서울 강서구 화곡동 1032-15
메가MGC커피 화곡남부시장점, 서울 강서구 화곡동 836-3
더리터24 서초서일초점, 서울 서초구 서초동 1442-10
크리스피카우엔카페, 서울 서대문구 연희동 87-2
갤러리, 서울 강북구 수유동 501
커팬시, 서울 광진구 광장동 148-4
더한강, 서울 동작구 본동 8-10
에스프레소진 양재점, 서울 서초구 양재동 20-33
제이앤제이카페, 서울 도봉구 방학동 661-8
메가MGC커피 남부터미널역점, 서울 서초구 서초동 1445-1
리프레셔스, 서울 서초구 방배동 528-15
마리아커피아카데미, 서울 강남구 삼성동 114-42
메가MGC커피 강동보훈사거리점, 서울 강동구 둔촌동 75-6
로네펠트티하우스 서대문점, 서울 서대문구 충정로2가 78
쉬즈베이글 신풍역점, 서울 영등포구 신길동 428-11
쏠티캐빈 용리단길점, 서울 용산구 한강로2가 126
뉴욕러브베이글 강남본점, 서울 강남구 역삼동 813-4
마실, 서울 광진구 자양동 227-342
스타디움커피, 서울 송파구 잠실동 10-1
다과상사, 서울 용산구 효창동 74
그릭밀, 서울 구로구 구로동 1127-33
모리화, 서울 강남구 신사동 597-4
갤러리덴, 서울 송파구 잠실동 175-11
탕후루허브, 서울 마포구 연남동 260-16
베러먼데이 동대문점신당역, 서울 중구 흥인동 156
카페픽미, 서울 금천구 독산동 378-392
까페루아, 서울 강서구 화곡동 1114-1
메이크베러띵스, 서울 마포구 망원동 57-88
카페원룸, 서울 광진구 구의동 210-53
아레스, 서울 종로구 명륜4가 16-2
과일농장 프룻팜 은평점, 서울 은평구 대조동 203-14
브루클린커피, 서울 구로구 고척동 333
메이드피아, 서울 마포구 서교동 347-15
다자인, 서울 용산구 후암동 64-1
카페런드리, 서울 강서구 등촌동 663-12
달리는커피 서울성신여대점, 서울 성북구 동선동1가 84-1
슬기네찻집, 서울 송파구 거여동 579
퐁치커피익스프레스 사가정점, 서울 중랑구 면목동 454-23
투썸플레이스 한양대학생복지관점, 서울 성동구 행당동 17-7
카페레이니데이, 서울 강동구 천호동 46-1
여우비, 서울 관악구 신림동 1425-15
데이롱 카페 고척고점, 서울 구로구 고척동 337
구니스, 서울 용산구 한강로2가 81-3
카페게이트 송파헬리오시티점, 서울 송파구 석촌동 274
파스쿠찌 서울대병원점, 서울 종로구 연건동 28-21
님부스, 서울 용산구 이태원동 74-63
베르그 더현대서울, 서울 영등포구 여의도동 22
카페밀, 서울 강동구 성내동 543-17
공이도시, 서울 마포구 서교동 340-5
카페말로 도봉점, 서울 도봉구 도봉동 92-54
플랜티안암브런치카페, 서울 성북구 안암동4가 48
엘리14, 서울 관악구 봉천동 196-63
카페유틸리티, 서울 송파구 문정동 639-5
발로르, 서울 강남구 삼성동 141
더쌍화커피, 서울 중구 남대문로3가 17-2
콩당, 서울 강북구 번동 415-14
챔프커피 제3작업실, 서울 중구 산림동 207-2
쥬씨 동덕여대점, 서울 성북구 하월곡동 21-103
블랙카페편의점, 서울 영등포구 여의도동 2
우장산로스터리, 서울 영등포구 영등포동7가 94-79
펫티, 서울 강서구 마곡동 800-4
30도씨커피 한국은행점, 서울 중구 북창동 93-84
브이커피, 서울 강서구 등촌동 653-5
슬릿, 서울 마포구 서교동 364-29
후즈팬카페, 서울 중구 남대문로2가 123
엠엠티에이치일공사, 서울 강남구 역삼동 678-23
오하나 강서점, 서울 강서구 등촌동 629-1
맥스웰하우스, 서울 서초구 서초동 1446-1
한강라이브, 서울 강동구 천호동 469-1
오렌지라떼, 서울 중랑구 묵동 240-1
삼바존, 서울 중구 을지로7가 2-1
카페희& 희(카페희앤희), 서울 강서구 등촌동 663-13
더코너, 서울 동대문구 회기동 42-53
알레시에스프레소 도산공원점, 서울 강남구 신사동 648-8
커피베이 노원수락점, 서울 노원구 상계동 1049-94
데이르, 서울 영등포구 당산동5가 11-47
카페후일, 서울 강서구 방화동 606-67
하루, 서울 영등포구 여의도동 44-35
수르기, 서울 용산구 한남동 683-65
텀브커피 정릉점, 서울 성북구 정릉동 160-4
라이브위더스, 서울 영등포구 영등포동1가 139-5
빽다방 돈암아리랑점, 서울 성북구 돈암동 644
더커피집 양재, 서울 서초구 양재동 210-6
커피컴마제이, 서울 관악구 남현동 1058-6
므나커피, 서울 송파구 문정동 91
카페더아르떼코인, 서울 강남구 대치동 890-59
메가MGC커피 중랑망우점, 서울 중랑구 망우동 182
소원나무, 서울 서대문구 대현동 56-93
반카페, 서울 영등포구 당산동6가 323
스타벅스 석촌호수점, 서울 송파구 송파동 7-5
행복한 하루의 커피, 서울 영등포구 영등포동 647
커피사피엔스 상암푸르지오시티점, 서울 마포구 상암동 1596
올리브나무, 서울 서초구 서초동 1435-1
33아파트먼트, 서울 용산구 한남동 729-68
카페스넛티, 서울 강남구 역삼동 730-4
매머드익스프레스 영등포동2가점, 서울 영등포구 영등포동2가 332-1
관훈갤러리카페, 서울 종로구 관훈동 192-47
키쉬미뇽, 서울 서초구 서초동 1748-5
쥬스박스, 서울 종로구 낙원동 236-1
솔비커피숍, 서울 도봉구 방학동 662-35
설빙 오류동역점, 서울 구로구 오류동 52-7
카페 플레이스, 서울 서대문구 창천동 9-20
더벤티 구로대륭포스트8차점, 서울 구로구 구로동 235-3
빽다방 서초역점, 서울 서초구 서초동 1542-1
CAFE OLDTOWN, 서울 성동구 성수동2가 511
플라워링트리, 서울 강서구 화곡동 1079
과일에반하다프루타 노량진점, 서울 동작구 노량진동 215-186
폴레폴레, 서울 마포구 동교동 177-12
메종마르지엘라 부티크카페, 서울 용산구 한남동 657-91
몰리다, 서울 성북구 성북동 122-7
커피프리쉐이드, 서울 성북구 보문동1가 128-23
쥬씨 구로남부점, 서울 구로구 구로동 497-3
폴바셋 롯데월드아이스링크점, 서울 송파구 잠실동 40-1
보이누리, 서울 영등포구 여의도동 35-2
중앙커피숍, 서울 강동구 천호동 289-49
헤븐, 서울 관악구 신림동 1639-23
히얼앤나우, 서울 양천구 신정동 992-5
브라우닝커피, 서울 마포구 공덕동 476
아이비, 서울 서초구 서초동 1600-9
르프레임, 서울 용산구 한강로3가 40-200
나무늘보카툰&북카페, 서울 노원구 공릉동 408-4
카페주제, 서울 관악구 봉천동 933-4
어드밴스커피 advance coffee, 서울 마포구 서교동 368-1
빽다방 낙성대역점, 서울 관악구 봉천동 1686-11
터널, 서울 영등포구 신길동 31-20
향기나무책방, 서울 영등포구 신길동 513
포지티브, 서울 성동구 성수동1가 668-49
브미모어 아뜰리에, 서울 마포구 신수동 93-211
베베쿠아, 서울 노원구 중계동 506-1
카페처음, 서울 종로구 무악동 82
37.5 청계산점, 서울 서초구 신원동 192-38
오로라 타로&사주 4호점, 서울 종로구 익선동 158-4
블루보틀 여의도 카페, 서울 영등포구 여의도동 22
